Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,78.19337235100102,None,2000,80.20391808800196,None,None,80.20391808800196,None,1.65,1,82.25430872399738,None,None,0,82.25430872399738,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
LgReward,2000,0,1,1,1,,84.32052511200163,None,2000,86.34441268299997,None,None,86.34441268299997,None,1.65,2,88.39398834400345,None,1,1,88.39398834400345,None,You won $5.00!,5,1,2,0.35,50.0,0.3154757829979644,"[0, 1]",0,0,3,None,0.3154757829979644,0.3154757829979644,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
SmallPun,2000,0,2,2,2,,90.4377036970036,None,2000,92.47201223899901,None,None,92.47201223899901,None,1.65,3,94.50488958499773,None,1,1,94.50488958499773,None,You did not lose $0.20!,5,5,3,0.32999999999999996,66.66666666666666,0.31502903749787947,[],66.66666666666666,3,3,None,0.3145822919977945,0.3145822919977945,Adjusting RT...,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
LgPun,2000,0,3,3,3,,96.55464751500404,None,2000,98.57886352200148,None,None,98.57886352200148,None,1.67,4,100.6213932410028,None,1,1,100.6213932410028,None,You did not lose $5.00!,5,4,4,0.32999999999999996,75.0,0.3053402976656798,[1],66.66666666666666,3,3,None,0.28596281800128054,0.28596281800128054,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
Triangle,2000,0,4,4,4,,102.67241529199964,None,2000,104.69635381200351,None,None,104.69635381200351,None,1.67,5,106.7387940280023,None,1,1,106.7387940280023,None,You did not win or lose anything!,5,3,4,0.32999999999999996,80.0,0.302426501750233,[1],66.66666666666666,3,3,None,0.2936851140038925,0.2936851140038925,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
LgReward,2000,0,5,5,5,,108.80604291499913,None,2000,110.830226004,None,None,110.830226004,None,1.67,6,112.88944427300157,None,None,0,112.88944427300157,None,You did not win $5.00!,5,1,5,0.32999999999999996,66.66666666666666,0.302426501750233,"[1, 0]",66.66666666666666,3,3,None,0.2936851140038925,,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
SmallPun,2000,0,6,6,6,,114.9395731370023,None,2000,116.96471553899755,None,None,116.96471553899755,None,1.67,7,119.00622339599795,None,1,1,119.00622339599795,None,You did not lose $0.20!,5,5,6,0.30999999999999994,71.42857142857143,0.2989659892002237,[],66.66666666666666,6,3,None,0.2851239390001865,0.2851239390001865,Adjusting RT...,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
SmallReward,2000,0,7,7,7,,121.0734661030001,None,2000,123.09885221900186,None,None,123.09885221900186,None,1.69,8,125.14855522700236,None,None,0,125.14855522700236,None,You did not win $0.20!,5,2,7,0.30999999999999994,62.5,0.2989659892002237,[0],66.66666666666666,6,3,None,0.2851239390001865,,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
Triangle,2000,0,8,8,8,,127.19045060100325,None,2000,129.21670989500126,None,None,129.21670989500126,None,1.69,9,131.25696867299848,None,1,1,131.25696867299848,None,You did not win or lose anything!,5,3,7,0.30999999999999994,66.66666666666666,0.29022325466697413,[0],66.66666666666666,6,3,None,0.24650958200072637,0.24650958200072637,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
LgReward,2000,0,9,9,9,,133.3239098749982,None,2000,135.35020101199916,None,None,135.35020101199916,None,1.69,10,137.40731632999814,None,1,1,137.40731632999814,None,You won $5.00!,10,1,8,0.30999999999999994,70.0,0.28693071599991526,"[0, 1]",66.66666666666666,6,3,None,0.26717548399756197,0.26717548399756197,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
LgPun,2000,0,10,10,10,,139.45780792100413,None,2000,141.48473968300095,None,None,141.48473968300095,None,1.69,11,143.5244590900038,None,1,1,143.5244590900038,None,You did not lose $5.00!,10,4,9,0.2899999999999999,72.72727272727273,0.2861907801252528,[],66.66666666666666,9,3,None,0.28101122900261544,0.28101122900261544,Adjusting RT...,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
SmallPun,2000,0,11,11,11,,145.57483466099802,None,2000,147.602400597003,None,None,147.602400597003,None,1.71,12,149.6371048660003,None,1,1,149.6371048660003,None,You did not lose $0.20!,10,5,10,0.2899999999999999,75.0,0.2778749411114,[1],66.66666666666666,9,3,None,0.2113482290005777,0.2113482290005777,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
SmallReward,2000,0,12,12,12,,151.68596260699996,None,2000,153.71921612299775,None,None,153.71921612299775,None,1.71,13,155.76905391600303,None,None,0,155.76905391600303,None,You did not win $0.20!,10,2,11,0.2899999999999999,69.23076923076923,0.2778749411114,"[1, 0]",66.66666666666666,9,3,None,0.2113482290005777,,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
LgPun,2000,0,13,13,13,,157.80915272900165,None,2000,159.83668180499808,None,None,159.83668180499808,None,1.71,14,161.87128697599837,None,1,1,161.87128697599837,None,You did not lose $5.00!,10,4,12,0.2699999999999999,71.42857142857143,0.27399413580060356,[],66.66666666666666,12,3,None,0.23906688800343545,0.23906688800343545,Adjusting RT...,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
Triangle,2000,0,14,14,14,,163.90956802300207,None,2000,165.93776840899955,None,None,165.93776840899955,None,1.73,15,167.97115560500242,None,None,0,167.97115560500242,None,You did not win or lose anything!,10,3,12,0.2699999999999999,66.66666666666666,0.27399413580060356,[],66.66666666666666,12,3,None,0.23906688800343545,,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,046,Practice,2,2019_Sep_06_1526,MID,3.1.5,60.19427992805574,
