Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,25.151460103981663,None,2000,27.15536588599207,None,None,27.15536588599207,None,1.65,1,29.23325346899219,None,1,1,0.264391403994523,29.23325346899219,None,You won $0.20!,0.2,2,1,0.35,100.0,0.264391403994523,[1],0,0,3,None,0.264391403994523,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
LgReward,2000,0,1,1,1,,31.273149146989454,None,2000,33.28826254699379,None,None,33.28826254699379,None,1.65,2,35.35392649599817,None,1,1,-0.016275638015940785,35.35392649599817,None,You won $5.00!,5.2,1,2,0.35,100.0,0.1240578829892911,"[1, 1]",0,0,3,None,-0.016275638015940785,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
SmallPun,2000,0,2,2,2,,37.35682723898208,None,2000,39.37218800699338,None,None,39.37218800699338,None,1.65,3,41.42219751398079,None,1,1,0.23546117497608066,41.42219751398079,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.1611923136515543,[],100.0,3,3,None,0.23546117497608066,Adjusting RT...,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
LgPun,2000,0,3,3,3,,43.44077579397708,None,2000,45.45520473900251,None,None,45.45520473900251,None,1.7,4,47.49197074101539,None,1,1,0.23774337401846424,47.49197074101539,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.18033007874328177,[1],100.0,3,3,None,0.23774337401846424,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
Triangle,2000,0,4,4,4,,49.56560907897074,None,2000,51.57170609396417,None,None,51.57170609396417,None,1.7,5,53.62929392099613,None,1,1,0.22828082303749397,53.62929392099613,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.1899202276021242,[1],100.0,3,3,None,0.22828082303749397,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
LgReward,2000,0,5,5,5,,55.69108611997217,None,2000,57.708506230963394,None,None,57.708506230963394,None,1.7,6,59.7738944189623,None,1,1,0.12370488903252408,59.7738944189623,None,You won $5.00!,10.2,1,5,0.3,100.0,0.17888433784052418,"[1, 1]",100.0,3,3,None,0.12370488903252408,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
SmallPun,2000,0,6,6,6,,61.816510220989585,None,2000,63.82372172601754,None,None,63.82372172601754,None,1.7,7,65.87566473498009,None,None,0,,65.87566473498009,None,You lost $0.20!,10.0,5,6,0.27,85.71428571428571,0.17888433784052418,[],83.33333333333333,6,3,None,0.12370488903252408,Adjusting RT...,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
SmallReward,2000,0,7,7,7,,67.9407954160124,None,2000,69.9600616649841,None,None,69.9600616649841,None,1.73,8,72.01793671597261,None,None,0,,72.01793671597261,None,You did not win $0.20!,10.0,2,7,0.27,75.0,0.17888433784052418,[0],83.33333333333333,6,3,None,0.12370488903252408,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
Triangle,2000,0,8,8,8,,74.0662680940004,None,2000,76.07572806696407,None,None,76.07572806696407,None,1.73,9,78.12565668200841,None,None,0,,78.12565668200841,None,You did not win or lose anything!,10.0,3,7,0.27,66.66666666666666,0.17888433784052418,[0],83.33333333333333,6,3,None,0.12370488903252408,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
LgReward,2000,0,9,9,9,,80.17534610198345,None,2000,82.16113398998277,None,None,82.16113398998277,None,1.73,10,84.22779420297593,None,None,0,,84.22779420297593,None,You did not win $5.00!,10.0,1,8,0.27,60.0,0.17888433784052418,"[0, 0]",83.33333333333333,6,3,None,0.12370488903252408,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
LgPun,2000,0,10,10,10,,86.27765601797728,None,2000,88.29543646500679,None,None,88.29543646500679,None,1.73,11,90.3348680799827,None,None,0,,90.3348680799827,None,You lost $5.00!,5.0,4,9,0.31,54.54545454545454,0.17888433784052418,[],33.33333333333333,9,3,None,0.12370488903252408,Adjusting RT...,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
SmallPun,2000,0,11,11,11,,92.35948385100346,None,2000,94.37924485397525,None,None,94.37924485397525,None,1.69,12,96.41919928998686,None,None,0,,96.41919928998686,None,You lost $0.20!,4.8,5,10,0.31,50.0,0.17888433784052418,[0],33.33333333333333,9,3,1,0.36730506603140384,,0.05730506603140384,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
SmallReward,2000,0,12,12,12,,98.46649159200024,None,2000,100.49726171401562,None,None,100.49726171401562,None,1.69,13,102.56418773997575,None,1,1,0.10946324799442664,102.56418773997575,None,You won $0.20!,5.0,2,11,0.31,53.84615384615385,0.16896703929108167,"[0, 1]",33.33333333333333,9,3,None,0.10946324799442664,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
LgPun,2000,0,13,13,13,,104.61141274101101,None,2000,106.61720969498856,None,1,106.61720969498856,None,1.69,14,108.63095824001357,None,None,0,,108.63095824001357,None,You lost $5.00!,0.0,4,12,0.36,50.0,0.16896703929108167,[],16.666666666666664,12,3,None,0.10946324799442664,Adjusting RT...,,0.40030817297520116,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
Triangle,2000,0,14,14,14,,110.65171449200716,None,2000,112.66517765098251,None,None,112.66517765098251,None,1.6400000000000001,15,114.71456768596545,None,1,1,0.2549581560306251,114.71456768596545,None,You did not win or lose anything!,0.0,3,12,0.36,53.333333333333336,0.1797159288835246,[],16.666666666666664,12,3,None,0.2549581560306251,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cctst_switch_1080,Practice,2,2019_Aug_31_0919,MID,3.1.5,23.993445913815798,
